Scientific Name,Common Name,Family,Growth Habit,Duration,Bloom Time,Bloom Color,Water Use,Light Requirement,Drought Tolerance,Larval Host Count,Photo Count,LBJ URL,Source Rows
Solidago nemoralis,"Gray Goldenrod, Prairie Goldenrod, Oldfield Goldenrod, Grayleaf Goldenrod, Gray-leaved Goldenrod, Dyersweed Goldenrod, Dwarf Goldenrod, Field Goldenrod",Not listed in spreadsheet,Herb,Perennial,"Jun , Jul , Aug , Sep , Oct",Yellow,Medium,"Sun , Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SONE,156
Sorghastrum nutans,"Indiangrass, Yellow Indiangrass, Indian Grass",Not listed in spreadsheet,Grass,Perennial,"Aug , Sep , Oct",Yellow,Medium,"Sun , Part Shade , Shade",High,2,7,https://www.wildflower.org/plants/result.php?id_plant=SONU2,29
Styphnolobium affine,"Eve's Necklace, Eve's Necklacepod, Texas Sophora, Pink Sophora, Necklace Tree",Not listed in spreadsheet,Tree,Perennial,"Mar , Apr , May","White , Pink",Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=STAF4,288
Symphoricarpos orbiculatus,"Coralberry, Indian Currant, Buckbrush",Not listed in spreadsheet,Shrub,Perennial,"Apr , May , Jun , Jul","White , Green","Low , Medium","Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SYOR,208
Symphyotrichum ericoides,"White Heath Aster, Heath Aster",Not listed in spreadsheet,Herb,Perennial,"Aug , Sep , Oct","White , Pink , Yellow , Blue",Low,Sun,High,0,6,https://www.wildflower.org/plants/result.php?id_plant=SYER,157
Symphyotrichum oblongifolium,"Aromatic Aster, Aromatic American Aster, Fall Aster, Wild Blue Aster, Shale Aster",Not listed in spreadsheet,Herb,Perennial,"Sep , Oct , Nov","Purple , Violet",Low,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SYOB,158
Symphyotrichum praealtum,Willowleaf Aster,Not listed in spreadsheet,Herb,Perennial,"Oct , Nov",Blue,Medium,"Sun , Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=SYPR5,159
Taxodium distichum,"Bald Cypress, Baldcypress, Common Bald Cypress, Southern Bald Cypress, Deciduous Cypress, Southern Cypress, Swamp Cypress, Red Cypress, White Cypress, Yellow Cypress, Gulf Cypress, Tidewater Red Cypress",Cupressaceae,Tree,Perennial,Apr,Purple,Medium,"Sun , Part Shade",,1,7,https://www.wildflower.org/plants/result.php?id_plant=TADI2,289
Tecoma stans,Yellow Bells,Not listed in spreadsheet,Shrub,Perennial,"Apr , May , Jun , Jul , Aug , Sep , Oct , Nov",Yellow,Low,"Sun , Part Shade",High,2,7,https://www.wildflower.org/plants/result.php?id_plant=TEST,209
Tetraneuris scaposa,"Four-nerve Daisy, Hymenoxys, Stemmy Four-nerve Daisy, Yellow Daisy, Bitterweed",Asteraceae,Herb,Perennial,"Jan , Feb , Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec",Yellow,Low,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=TESC2,160
